Model / Classifier,Accuracy Raw (Lab 1),Accuracy Filtered (Lab 2),Accuracy Edge (Lab 3),Precision,Recall,F1-Score,Training Time (s),Inference Time (ms),Lab 1 reported acc. (ref.),Edge - Raw (pp)
SVM,57.81,60.94,32.81,33.01,32.81,32.38,4.09,2.84,,-25.0
Random Forest,51.56,54.69,26.56,29.51,26.56,26.17,8.52,3.46,,-25.0
KNN,45.31,43.75,35.94,34.17,35.94,34.19,3.9,2.64,,-9.38
CNN Model 1 (ResNet50),70.31,68.75,40.62,38.65,40.62,39.23,53.72,7.01,78.12,-29.69
CNN Model 2 (AlexNet),67.19,62.5,45.31,43.35,45.31,43.35,14.46,0.83,75.0,-21.88
